experiment_id,label,left_arm,right_arm,multiplicity_family,scope,endpoint,estimand,n_ita_pairs,n_common_served,left_ita_rate,right_ita_rate,ita_delta_right_minus_left,common_served_outcome_gain_n,common_served_outcome_loss_n,common_served_outcome_contribution,right_only_service_positive_n,right_only_service_positive_contribution,left_only_service_positive_n,left_only_service_positive_contribution,decomposition_sum,common_served_conditional_delta,provenance
RCR3,compact4_vs_rcr3,rcr3_default,compact4_true3gen,primary,MCR,clinical_complete,ita_service_path_arithmetic_decomposition_not_causal_mediation,150,85,0.08666666666666667,0.08666666666666667,0.0,8,3,0.03333333333333333,1,0.006666666666666667,6,-0.04,0.0,0.058823529411764705,blinded_model_panel_sensitivity_not_root
RCR3,compact4_vs_rcr3,rcr3_default,compact4_true3gen,primary,MCR,compatible_partial,ita_service_path_arithmetic_decomposition_not_causal_mediation,150,85,0.2,0.07333333333333333,-0.12666666666666668,4,12,-0.05333333333333334,2,0.013333333333333334,13,-0.08666666666666667,-0.12666666666666668,-0.09411764705882353,blinded_model_panel_sensitivity_not_root
RCR3,compact4_vs_rcr3,rcr3_default,compact4_true3gen,primary,MCR,complete_or_compatible_partial,ita_service_path_arithmetic_decomposition_not_causal_mediation,150,85,0.2866666666666667,0.16,-0.12666666666666668,10,13,-0.02,3,0.02,19,-0.12666666666666668,-0.12666666666666668,-0.03529411764705882,blinded_model_panel_sensitivity_not_root
RCR3,compact4_vs_rcr3,rcr3_default,compact4_true3gen,primary,MCR,task,ita_service_path_arithmetic_decomposition_not_causal_mediation,150,85,0.12,0.10666666666666667,-0.013333333333333334,8,6,0.013333333333333334,2,0.013333333333333334,6,-0.04,-0.013333333333333332,0.023529411764705882,blinded_model_panel_sensitivity_not_root
RCR3,rcr3_vs_lite3_same_3call_budget,lite3_safe,rcr3_default,primary,ALL,clinical_complete,ita_service_path_arithmetic_decomposition_not_causal_mediation,300,259,0.07333333333333333,0.043333333333333335,-0.03,3,12,-0.03,0,0.0,0,0.0,-0.03,-0.03474903474903475,blinded_model_panel_sensitivity_not_root
RCR3,rcr3_vs_lite3_same_3call_budget,lite3_safe,rcr3_default,primary,ALL,compatible_partial,ita_service_path_arithmetic_decomposition_not_causal_mediation,300,259,0.36,0.32,-0.04,35,27,0.02666666666666667,0,0.0,20,-0.06666666666666667,-0.039999999999999994,0.03088803088803089,blinded_model_panel_sensitivity_not_root
RCR3,rcr3_vs_lite3_same_3call_budget,lite3_safe,rcr3_default,primary,ALL,complete_or_compatible_partial,ita_service_path_arithmetic_decomposition_not_causal_mediation,300,259,0.43333333333333335,0.36333333333333334,-0.07,33,34,-0.0033333333333333335,0,0.0,20,-0.06666666666666667,-0.06999999999999999,-0.003861003861003861,blinded_model_panel_sensitivity_not_root
RCR3,rcr3_vs_lite3_same_3call_budget,lite3_safe,rcr3_default,primary,DA,clinical_complete,ita_service_path_arithmetic_decomposition_not_causal_mediation,150,127,0.0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0.0,blinded_model_panel_sensitivity_not_root
RCR3,rcr3_vs_lite3_same_3call_budget,lite3_safe,rcr3_default,primary,DA,compatible_partial,ita_service_path_arithmetic_decomposition_not_causal_mediation,150,127,0.5466666666666666,0.44,-0.10666666666666667,19,20,-0.006666666666666667,0,0.0,15,-0.1,-0.10666666666666667,-0.007874015748031496,blinded_model_panel_sensitivity_not_root
RCR3,rcr3_vs_lite3_same_3call_budget,lite3_safe,rcr3_default,primary,DA,complete_or_compatible_partial,ita_service_path_arithmetic_decomposition_not_causal_mediation,150,127,0.5466666666666666,0.44,-0.10666666666666667,19,20,-0.006666666666666667,0,0.0,15,-0.1,-0.10666666666666667,-0.007874015748031496,blinded_model_panel_sensitivity_not_root
RCR3,rcr3_vs_lite3_same_3call_budget,lite3_safe,rcr3_default,primary,DA,task,ita_service_path_arithmetic_decomposition_not_causal_mediation,150,127,0.24666666666666667,0.26666666666666666,0.02,22,10,0.08,0,0.0,9,-0.06,0.020000000000000004,0.09448818897637795,blinded_model_panel_sensitivity_not_root
