experiment_id,label,scope,endpoint,panel_delta,panel_sign,panel_holm_adjusted_p,panel_holm_significant,reviewer_a_delta,reviewer_b_delta,reviewer_c_delta,reviewer_delta_min,reviewer_delta_max,reviewer_delta_range,all_reviewers_same_direction,all_reviewers_and_panel_same_direction,reviewer_holm_significant_n,panel_and_all_reviewers_holm_robust_same_direction,provenance
E1,shuffle_vs_fixed_clean__aphhm_hierarchical,MCR,complete_or_compatible_partial,0.01,positive,1.0,False,0.02,0.0,0.01,0.0,0.02,0.02,False,False,0,False,model_reviewer_perturbation_not_root
E1,shuffle_vs_fixed_options__ab02_flat,ALL,clinical_complete,-0.045,negative,0.5263957469724119,False,-0.02,-0.04,-0.035,-0.04,-0.02,0.02,True,True,0,False,model_reviewer_perturbation_not_root
E1,shuffle_vs_fixed_options__ab02_flat,ALL,compatible_partial,-0.005,negative,1.0,False,0.025,0.01,-0.02,-0.02,0.025,0.045,False,False,0,False,model_reviewer_perturbation_not_root
E1,shuffle_vs_fixed_options__ab02_flat,ALL,complete_or_compatible_partial,-0.05,negative,0.29621144011616707,False,0.005,-0.03,-0.055,-0.055,0.005,0.06,False,False,0,False,model_reviewer_perturbation_not_root
E1,shuffle_vs_fixed_options__ab02_flat,DA,clinical_complete,-0.05,negative,0.996917724609375,False,-0.04,-0.03,-0.05,-0.05,-0.03,0.020000000000000004,True,True,0,False,model_reviewer_perturbation_not_root
E1,shuffle_vs_fixed_options__ab02_flat,DA,compatible_partial,0.0,zero,1.0,False,0.03,-0.02,0.01,-0.02,0.03,0.05,False,False,0,False,model_reviewer_perturbation_not_root
E1,shuffle_vs_fixed_options__ab02_flat,DA,complete_or_compatible_partial,-0.05,negative,0.800537109375,False,-0.01,-0.05,-0.04,-0.05,-0.01,0.04,True,True,0,False,model_reviewer_perturbation_not_root
E1,shuffle_vs_fixed_options__ab02_flat,MCR,clinical_complete,-0.04,negative,1.0,False,0.0,-0.05,-0.02,-0.05,0.0,0.05,False,False,0,False,model_reviewer_perturbation_not_root
E1,shuffle_vs_fixed_options__ab02_flat,MCR,compatible_partial,-0.01,negative,1.0,False,0.02,0.04,-0.05,-0.05,0.04,0.09,False,False,0,False,model_reviewer_perturbation_not_root
E1,shuffle_vs_fixed_options__ab02_flat,MCR,complete_or_compatible_partial,-0.05,negative,1.0,False,0.02,-0.01,-0.07,-0.07,0.02,0.09000000000000001,False,False,0,False,model_reviewer_perturbation_not_root
E1,shuffle_vs_fixed_options__aphhm_hierarchical,ALL,clinical_complete,-0.11,negative,0.01824613098563288,True,-0.115,-0.1,-0.13,-0.13,-0.1,0.03,True,True,3,True,model_reviewer_perturbation_not_root
E1,shuffle_vs_fixed_options__aphhm_hierarchical,ALL,compatible_partial,0.03,positive,1.0,False,0.03,0.015,0.045,0.015,0.045,0.03,True,True,0,False,model_reviewer_perturbation_not_root
E1,shuffle_vs_fixed_options__aphhm_hierarchical,ALL,complete_or_compatible_partial,-0.08,negative,0.0780818911298411,False,-0.085,-0.085,-0.085,-0.085,-0.085,0.0,True,True,0,False,model_reviewer_perturbation_not_root
E1,shuffle_vs_fixed_options__aphhm_hierarchical,DA,clinical_complete,-0.17,negative,0.013307571411132812,True,-0.18,-0.16,-0.17,-0.18,-0.16,0.01999999999999999,True,True,3,True,model_reviewer_perturbation_not_root
E1,shuffle_vs_fixed_options__aphhm_hierarchical,DA,compatible_partial,0.05,positive,1.0,False,0.05,0.04,0.04,0.04,0.05,0.010000000000000002,True,True,0,False,model_reviewer_perturbation_not_root
E1,shuffle_vs_fixed_options__aphhm_hierarchical,DA,complete_or_compatible_partial,-0.12,negative,0.0301513671875,True,-0.13,-0.12,-0.13,-0.13,-0.12,0.010000000000000009,True,True,3,True,model_reviewer_perturbation_not_root
E1,shuffle_vs_fixed_options__aphhm_hierarchical,MCR,clinical_complete,-0.05,negative,1.0,False,-0.05,-0.04,-0.09,-0.09,-0.04,0.049999999999999996,True,True,0,False,model_reviewer_perturbation_not_root
E1,shuffle_vs_fixed_options__aphhm_hierarchical,MCR,compatible_partial,0.01,positive,1.0,False,0.01,-0.01,0.05,-0.01,0.05,0.060000000000000005,False,False,0,False,model_reviewer_perturbation_not_root
E1,shuffle_vs_fixed_options__aphhm_hierarchical,MCR,complete_or_compatible_partial,-0.04,negative,1.0,False,-0.04,-0.05,-0.04,-0.05,-0.04,0.010000000000000002,True,True,0,False,model_reviewer_perturbation_not_root
E10,history_effect_rrf,ALL,clinical_complete,0.0125,positive,0.6796875,False,0.0125,0.015,0.0125,0.0125,0.015,0.0024999999999999988,True,True,0,False,model_reviewer_perturbation_not_root
E10,history_effect_rrf,ALL,compatible_partial,0.0475,positive,0.010133543735719286,True,0.05,0.0525,0.05,0.05,0.0525,0.0024999999999999953,True,True,3,True,model_reviewer_perturbation_not_root
E10,history_effect_rrf,ALL,complete_or_compatible_partial,0.06,positive,0.0015525236117355234,True,0.0625,0.0675,0.0625,0.0625,0.0675,0.0050000000000000044,True,True,3,True,model_reviewer_perturbation_not_root
E10,history_effect_rrf,DA,clinical_complete,0.005,positive,1.0,False,0.005,0.005,0.005,0.005,0.005,0.0,True,True,0,False,model_reviewer_perturbation_not_root
E10,history_effect_rrf,DA,compatible_partial,0.08,positive,0.006175518035888672,True,0.08,0.085,0.085,0.08,0.085,0.0050000000000000044,True,True,3,True,model_reviewer_perturbation_not_root
E10,history_effect_rrf,DA,complete_or_compatible_partial,0.085,positive,0.0036420822143554688,True,0.085,0.09,0.09,0.085,0.09,0.0049999999999999906,True,True,3,True,model_reviewer_perturbation_not_root
E10,history_effect_rrf,MCR,clinical_complete,0.02,positive,0.90625,False,0.02,0.025,0.02,0.02,0.025,0.005000000000000001,True,True,0,False,model_reviewer_perturbation_not_root
E10,history_effect_rrf,MCR,compatible_partial,0.015,positive,1.0,False,0.02,0.02,0.015,0.015,0.02,0.005000000000000001,True,True,0,False,model_reviewer_perturbation_not_root
E10,history_effect_rrf,MCR,complete_or_compatible_partial,0.035,positive,0.66827392578125,False,0.04,0.045,0.035,0.035,0.045,0.009999999999999995,True,True,0,False,model_reviewer_perturbation_not_root
E10,history_effect_supervisor,ALL,clinical_complete,0.0175,positive,0.473876953125,False,0.015,0.0175,0.0175,0.015,0.0175,0.0025000000000000022,True,True,0,False,model_reviewer_perturbation_not_root
E10,history_effect_supervisor,ALL,compatible_partial,0.0075,positive,1.0,False,0.0025,0.0075,0.0125,0.0025,0.0125,0.01,True,True,0,False,model_reviewer_perturbation_not_root
