reviewer_id,experiment_id,arm_id,endpoint,n_ita,n_served,positive_n,rate_ita,provenance
reviewer_a,E4,evidence_count_control,clinical_complete,400,400,31,0.0775,individual_blinded_model_reviewer_sensitivity_not_root
reviewer_a,E4,evidence_count_control,compatible_partial,400,400,125,0.3125,individual_blinded_model_reviewer_sensitivity_not_root
reviewer_a,E4,evidence_count_control,complete_or_compatible_partial,400,400,156,0.39,individual_blinded_model_reviewer_sensitivity_not_root
reviewer_a,E4,forest_evidence_integrator,clinical_complete,400,400,72,0.18,individual_blinded_model_reviewer_sensitivity_not_root
reviewer_a,E4,forest_evidence_integrator,compatible_partial,400,400,140,0.35,individual_blinded_model_reviewer_sensitivity_not_root
reviewer_a,E4,forest_evidence_integrator,complete_or_compatible_partial,400,400,212,0.53,individual_blinded_model_reviewer_sensitivity_not_root
reviewer_a,E4,pairwise_tournament,clinical_complete,400,400,72,0.18,individual_blinded_model_reviewer_sensitivity_not_root
reviewer_a,E4,pairwise_tournament,compatible_partial,400,400,142,0.355,individual_blinded_model_reviewer_sensitivity_not_root
reviewer_a,E4,pairwise_tournament,complete_or_compatible_partial,400,400,214,0.535,individual_blinded_model_reviewer_sensitivity_not_root
reviewer_a,E5,add_component5,clinical_complete,200,166,120,0.6,individual_blinded_model_reviewer_sensitivity_not_root
reviewer_a,E5,add_component5,compatible_partial,200,166,26,0.13,individual_blinded_model_reviewer_sensitivity_not_root
reviewer_a,E5,add_component5,complete_or_compatible_partial,200,166,146,0.73,individual_blinded_model_reviewer_sensitivity_not_root
reviewer_a,E5,add_parent5,clinical_complete,200,166,109,0.545,individual_blinded_model_reviewer_sensitivity_not_root
reviewer_a,E5,add_parent5,compatible_partial,200,166,37,0.185,individual_blinded_model_reviewer_sensitivity_not_root
reviewer_a,E5,add_parent5,complete_or_compatible_partial,200,166,146,0.73,individual_blinded_model_reviewer_sensitivity_not_root
reviewer_a,E5,add_sibling5,clinical_complete,200,165,100,0.5,individual_blinded_model_reviewer_sensitivity_not_root
reviewer_a,E5,add_sibling5,compatible_partial,200,165,27,0.135,individual_blinded_model_reviewer_sensitivity_not_root
