case_id,cohort,arm,opt1,opt2,rr,option_rank,best_rank,official_opt1,official_opt2,official_rr,reverted,swapped,n_merge_clusters,route_path,n_synthetic,subdivided_parents,pool_pre,pool_post
190,remain76,subdivide,1,1,1.0,1,1,1,1,1.0,0,0,,calibrate_only,,,"B3.2,B2.2,B1.3,B4.4,B5.4","B3.2,B2.2,B1.3,B4.4,B5.4"
194,remain76,subdivide,1,1,1.0,1,13,1,1,1.0,0,0,,subdivide,16,"B4.2,B2.2,B3.2,B1.2","B4.2.L31,B4.2.L32,B4.2.L33,B4.2.L34,B2.2.L31","B4.2.L31,B4.2.L32,B4.2.L33,B4.2.L34,B2.2.L31"
198,remain76,subdivide,0,0,0.0,2,,0,0,0.0,0,0,,calibrate_only,,,"B1.1,B3.1,B5.1,B2.1,B4.1","B1.1,B3.1,B5.1,B2.1,B4.1"
202,remain76,subdivide,0,1,0.5,2,8,1,1,1.0,0,0,,subdivide,9,"B3.1,B2.1,B4.2","B3.1.L31,B3.1.L32,B3.1.L33,B2.1.L31,B2.1.L32","B3.1.L31,B3.1.L32,B3.1.L33,B2.1.L31,B2.1.L32"
205,remain76,subdivide,0,1,0.5,2,4,0,1,0.5,0,0,,calibrate_only,,,"B3.2,B2.3,B4.2,B1.4","B3.2,B2.3,B4.2,B1.4"
206,remain76,subdivide,1,1,1.0,1,1,1,1,1.0,0,0,,calibrate_only,,,"B1.2,B2.1,B4.3,B5.2,B3.1","B1.2,B2.1,B4.3,B5.2,B3.1"
207,remain76,subdivide,1,1,1.0,1,7,1,1,1.0,0,0,,subdivide,8,"B2.1,B1.1,B3.1,B4.1","B2.1.L31,B2.1.L32,B1.1.L31,B1.1.L32,B3.1.L31","B2.1.L31,B2.1.L32,B1.1.L31,B1.1.L32,B3.1.L31"
211,remain76,subdivide,1,1,1.0,1,1,1,1,1.0,0,0,,calibrate_only,,,"B2.3,B1.1,B5.1,B4.1,B3.2","B2.3,B1.1,B5.1,B4.1,B3.2"
214,remain76,subdivide,0,1,0.5,2,2,0,1,0.5,0,0,,calibrate_only,,,"B4.1,B3.4,B1.4,B2.2","B4.1,B3.4,B1.4,B2.2"
216,remain76,subdivide,0,1,0.5,2,14,1,1,1.0,0,0,,subdivide,16,"B3.2,B1.1,B4.1,B2.4","B3.2.L31,B3.2.L32,B3.2.L33,B3.2.L34,B1.1.L31","B3.2.L31,B3.2.L32,B3.2.L33,B3.2.L34,B1.1.L31"
219,remain76,subdivide,1,1,1.0,1,1,1,1,1.0,0,0,,calibrate_only,,,"B1.1,B4.1,B2.1,B3.1,B5.1","B1.1,B4.1,B2.1,B3.1,B5.1"
220,remain76,subdivide,1,1,1.0,1,1,1,1,1.0,0,0,,calibrate_only,,,"B3.1,B1.1,B2.1,B4.2","B3.1,B1.1,B2.1,B4.2"
225,remain76,subdivide,1,1,1.0,1,1,1,1,1.0,0,0,,calibrate_only,,,"B2.2,B1.1,B3.1,B4.1","B2.2,B1.1,B3.1,B4.1"
226,remain76,subdivide,0,0,0.0,2,,0,0,0.0,0,0,,calibrate_only,,,"B3.2,B1.1,B2.4,B4.2","B3.2,B1.1,B2.4,B4.2"
